1100,1150,1200,1250,1300,1350,1400,1450,1500
1.5,1.227,0.9147,0.8444,0.832,0.781,0.7277,0.6815,0.6471
0,-6.3833E-05,0.000161012,5.85044E-07,-2.43922E-05,4.34362E-06,1.4977E-06,6.70557E-06,0
3.859,2.794,2.175,1.762,1.456,1.225,1.045,0.9035,0.7963
0,0.000255471,4.8514E-05,4.48724E-05,2.87963E-05,1.99424E-05,1.3834E-05,1.71215E-05,0
5.377,4.07,3.036,2.8,2.49,2.046,1.775,1.633,1.604
0,3.67805E-05,0.000508078,-0.000153893,-7.01072E-05,0.000112722,3.44209E-05,5.91948E-05,0
27.29,15.65,10.25,7.886,5.252,3.262,2.239,1.72,1.5
0,0.00347206,0.00108776,-0.000536714,0.000411093,0.000437943,0.000157935,0.000139916,0
1.802,1.825,1.422,1.393,1.267,0.9363,0.5052,0.3361,0.2979
0,-0.000340878,0.00034111,-0.000125963,-7.0059E-05,-8.50813E-05,0.000169424,3.61839E-05,0
19.64,10.75,6.739,4.587,2.991,1.715,0.7424,0.35,0.21
0,0.00283951,0.00035156,0.000215851,0.000119436,7.44054E-05,0.000311103,7.36644E-05,0
